Orpaillage
Reproduction d'enregistrements
Fabrication d'autres produits chimiques inorganiques de base n.c.a.
Fabrication de pesticides et d'autres produits agrochimiques
Fabrication d'huiles essentielles
Fabrication de fibres artificielles ou synthétiques
Fabrication d'autres articles en caoutchouc
Fabrication de plaques, feuilles, tubes et profilés en matières plastiques
Fabrication d'emballages en matières plastiques
Fabrication d'éléments divers en matières plastiques
Fabrication de verre plat
Fabrication de fibres de verre
Fabrication de carreaux en céramique
Fabrication de briques
Fabrication de tuiles
Fabrication d'isolateurs et pièces isolantes en céramique
Fabrication de ciment céramiques
Fabrication d'éléments en béton pour la construction
Fabrication de béton prêt à l'emploi
Fabrication de mortiers et bétons secs
Fabrication d'éléments décoratifs en béton ou en plâtre
Taille, façonnage et finissage de pierres
Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
Production d'aluminium
Fonderie d'autres métaux non ferreux
Fabrication de structures métalliques et de parties de structures
Fabrication d'autres réservoirs, citernes et conteneurs métalliques
Fabrication de générateurs de vapeur
Fabrication de serrures et de ferrures
Fabrication d'outillage à main
Fabrication de ressorts
Fabrication de coffres-forts
Fabrication d'autres articles métalliques n.c.a.
Fabrication de composants électroniques (hors capteurs solaires)
Fabrication de capteurs solaires photovoltaïques
Fabrication de cartes électroniques assemblées
Fabrication de produits électroniques grand public
Fabrication d'instrumentation scientifique et technique
Horlogerie
Fabrication de groupes électrogènes
Fabrication de câbles de fibres optiques
Fabrication d'autres fils et câbles électroniques ou électrique
Fabrication d'autres appareils d'éclairage
Fabrication de moteurs et turbines, à l'exception des moteurs d'avion et de véhicules
Fabrication de turbines éoliennes
Fabrication d'équipements hydrauliques et pneumatiques
Fabrication de compresseurs
Fabrication d'engrenages et d'organes mécaniques de transmission
Fabrication de fours et brûleurs non solaires
Fabrication d'outillage portatif à moteur incorporé
Fabrication d'équipements de réfrigération industrielle
Fabrication d'appareils de pesage
Fabrication de machines pour l'industrie agro-alimentaire
Fabrication de machines pour les industries du papier et du carton
Construction de navires
Transformation et équipement des navires
Fabrication d'équipements pour motocycles
Fabrication de meubles de bureau et de magasin
Fabrication de meubles de jardin et d'extérieur
Fabrication d'autres instruments de musique
Fabrication de jeux et jouets
Fabrication de prothèses et orthèses diverses
Fabrication d'articles de brosserie
Fabrication de bougies
Fabrication d'accessoires du vêtements
Fabrication d'articles de fumeurs
Fabrication d'équipements de protection et de sécurité
Collecte des déchets nucléaires
Traitement et élimination de déchets nucléaires radioactifs
Démantèlement d'épaves en vue de la récupération de matières métalliques
Traitement de matières métalliques recyclables
Extraction de pierres ornementales et de construction et d'ardoise
Exploitation de gravières et sablières, extraction d’argiles et de kaolin
Extraction des minéraux chimiques et d'engrais minéraux
Production de sel
Autres activités extractives n.c.a.
Activités de soutien aux autres industries extractives
Préparation et filature d'autres fibres
Tissage de l'industrie cotonnière
Tissage d'autres textiles
Fabrication de coussins et petits articles textiles divers
Voilerie
Fabrication d'articles de campement en textile
Fabrication de ficelles, cordes et filets
Fabrication de non-tissés, sauf habillement
Fabrication de vêtements en cuir
Fabrication de vêtements de travail
Chemiserie sur mesure
Fabrication de gaines, corsets et autres vêtements sur mesure
Confection de vêtements de dessous
Fabrication de chapellerie
Fabrication d'autres vêtements et accessoires
Gainerie
Fabrication de sabots
Fabrication de chaussures et de bottes
Fabrication de chaussures et de bottes sur mesure
Fabrication de parquets, moulures et baguettes
Imprégnation du bois
Fabrication de placage et de panneaux de bois
Fabrication de charpentes et d'autres menuiseries
Fabrication de caisses et de palettes en bois
Fabrication d'objets divers en bois
Fabrication d'objets en liège
Fabrication de pâte à papier
Fabrication de carton ondulé
Fabrication de cartonnages
Imprimerie de labeur
Reliure et activités connexes
Fabrication de gaz industriels
Fabrication de produits de la distillation du bois
Fabrication de matières plastiques de base
Fabrication de peintures, vernis, encres et mastics
Fabrication de produits explosifs
Fabrication d'édulcorants de synthèse
Fabrication et rechapage de pneumatiques
Fabrication d'éléments en matières plastiques pour la construction
Fabrication de pièces techniques à base de matières plastiques
Façonnage et transformation du verre plat
Soufflage de verre
Façonnage de verre et de cristal
Fabrication d'articles techniques en verre
Fabrication de produits réfractaires
Fabrication d'articles céramiques à usage domestique ou ornemental
Fabrication d'appareils sanitaires en céramique
Fabrication de chaux et plâtre.
Fabrication de cheminée décoratives
Sidérurgie
Laminage à froid de feuillards
Profilage à froid par formage ou pliage
Première transformation de l'aluminium
Métallurgie du cuivre
Elaboration et transformation de matières nucléaires
Fonderie de fonte
Fonderie d'acier
Fabrication de portes et fenêtres en métal
Découpage, emboutissage
Sérigraphie de type marquage
Mécanique industrielle
Fabrication de coutellerie
Fabrication d'outillage mécanique
Fabrication de fûts et emballages métalliques similaires
Fabrication d'emballages métalliques légers
Fabrication de vis et de boulons
Fabrication d'ordinateurs et d'autres équipements informatiques
Fabrication d'instruments d'optique
Fabrication de moteurs électriques
Fabrication de matériel de distribution et de commande électrique
Fabrication de matériel d'installation électrique
Fabrication d'autres articles de robinetterie
Fabrication de chauffages solaires
Fabrication d'équipements de levage et de manutention
Fabrication de capteur solaire à effet de serre
Fabrication d'équipements aérauliques
Fabrication d'autres machines d'usage général
Fabrication de machines agricoles et forestières
Fabrication de machines-outils pour le travail des métaux
Fabrication d'autres machines-outils
Fabrication de matériels de mines pour l'extraction
Fabrication de matériels de travaux publics
Fabrication de machines d'imprimerie
Fabrication d'autres machines spécialisées
Fabrication d'autres équipements automobiles
Construction de bateaux de plaisance
Construction de moteurs pour aéronefs
Construction de lanceurs et engins spatiaux
Construction de véhicules militaires de combat
Construction de bicyclettes
Fabrication de véhicules pour invalides et enfants
Fabrication de meubles de cuisine
Fabrication de matelas
Fabrication de sièges d'ameublement d'intérieur
Fabrication et finissage de meubles divers
Frappe de monnaies
Fabrication d'articles de bijouterie fantaisie et articles similaires
Lutherie
Facteur d'orgues
Fabrication d'articles de sport
Fabrication de prothèses dentaires
Fabrication d'équipements médico-chirurgicaux
Fabrication de lunettes de protection
Incinération des déchets non dangereux et production de cendres et scories associée
Démantèlement d'épaves en vue de la récupération de matières non métalliques
Traitement de matières non métalliques recyclables
Désamiantage
Réparation de matériel agricole
Réparation de matériels électroniques et optiques
Réparation et maintenance navale
Réparation et maintenance d'autres matériels de transport
Installation de structures métalliques, chaudronnées et de tuyauterie
Entretien de fosses septiques
Réparation automobile de véhicules automobiles légers: électricité, électronique
Réparation automobile d'autres véhicules automobiles: électricité, électronique
Photographie industrielle et publicitaire
Services administratifs divers
Travaux à façon divers:
Activités de conditionnement
Restauration d'objets d'art
Réparation de produits électroniques grand public
Réparation de chaussures et d'articles en cuir
Réparation de meubles et d'équipements du foyer
Réparation non classées ailleurs
Pressings
Coiffure hors salons
Soins de beauté hors salon
Maréchalerie
Réparation d'équipements électriques
Réparation et maintenance d'aéronefs et d'engins spatiaux
Installation de machines et équipements mécaniques
Réparation automobile de véhicules automobiles légers: entretien courant
Réparation automobile d'autres véhicules automobiles: entretien courant
Réparation automobile d'autres véhicules automobiles: diesel
Réparation automobile d'autres véhicules automobiles: carrosserie
Commerce de détail de fleurs
Commerce de détail de fleurs sur éventaires et marchés
Taxis
Pose d'affiches, publicité aérienne, distribution de prospectus et d'échantillons publicitaires
Studio de photographie
Portrait, reportage
Nettoyage courant des bâtiments
Autres activités de nettoyage des bâtiments et nettoyage industriel
Autres services de nettoyage
Ambulances
Spectacles de marionnettes
Réparation d'ordinateurs et d'équipements périphériques
Réparation d'appareils électroménagers
Réparation d'articles d'horlogerie et de bijouterie
Aiguisage de coutellerie
Accordeurs de piano et restauration d'autres instruments de musique
Laveries, blanchisserie et teintureries de détail
Coiffure en salon
Réparation d'ouvrages en métaux
Réparation d'autres machines
Réparation d'autres équipements
Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels
Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels
Réparation automobile de véhicules automobiles légers: mécanique
Réparation automobile de véhicules automobiles légers: carrosserie
Réparation automobile d'autres véhicules automobiles: mécanique
Réparation de motocycles
Location de voitures avec chauffeur
Services de déménagement
Transports fluviaux de fret
Assistance et remorquage de véhicules automobiles
Contrôle technique automobile
Conception de modèles pour étalages et décoration
Laboratoires techniques de développement et de tirage
Activité de surveillance et installation de systèmes d'alarme non dissociées
Désinfection, désinsectisation, dératisation
Réparation d'équipements de communication
Réparation de tondeuses à gazon
Réparation de cycles
Atelier de retouches
Réparation d'articles de sport et de campement
Blanchisserie-teinturerie de gros
Soins de beauté en salon
Embaumement, soins mortuaires
Toilettage d'animaux de compagnie
Fabrication de margarine et graisses comestibles similaires
Fabrication de beurre
Fabrication d'autres produits laitiers
Meunerie
Fabrication industrielle de pâtisserie fraîche
Boulangerie
Fabrication de condiments et assaisonnements
Fabrication de cidre et de vins de fruits
Production d'autres boissons fermentées non distillées
Fabrication de malt
Crémerie-fromagerie et préparations à base de lait ou de fromage
Crémerie-fromagerie et préparations à base de lait ou de fromage sur éventaire, marchés
Fabrication artisanale associée à la vente de plats pour consommation immédiate en magasins sédentaires ou sur éventaire
Fabrication artisanale associée à la vente de plats pour consommation immédiate en véhicules motorisés ou non
Préparation industrielle de produits à base de viande
Préparation de jus de fruits et légumes
Fabrication d'huiles et graisses brutes
Fabrication d'huiles et graisses raffinées
Fabrication de lait liquide et de produits frais
Autres activités du travail des grains
Fabrication de pâtes alimentaires
Fabrication de sucre
Transformation du thé et du café
Fabrication d'aliments homogénéisés et diététiques
Fabrication d'autres produits alimentaires n.c.a.
Fabrication de spiritueux
Fabrication de vins effervescents selon la méthode champenoise ou autres méthodes
Fabrication de bière
Industrie des eaux de table
Production de boissons rafraîchissantes
Boucherie
Boucherie chevaline
Volailles, gibiers
Volailles, gibiers sur éventaires et marchés
Triperie sur éventaires et marchés
Fabrication culinaire artisanale de plats à consommer sur place
Transformation et conservation de la viande de boucherie
Transformation et conservation de la viande de volaille
Charcuterie
Transformation et conservation de poisson, de crustacés et de mollusques
Transformation et conservation de pommes de terre
Autre transformation et conservation de longue durée de légumes
Transformation et conservation de fruits
Fabrication de fromage
Fabrication de glaces et sorbets
Fabrication de produits amylacés
Fabrication industrielle de pain
Boulangerie-pâtisserie
Pâtisserie
Fabrication de biscuits, biscottes et pâtisseries de conservation
Fabrication de cacao, chocolat et de produits de confiserie
Fabrication de plats préparés
Fabrication d'aliments pour animaux de ferme
Fabrication d'aliments pour animaux de compagnie
Production d'eaux de vie naturelles
Boucherie charcuterie
Triperie
Préparation de poissons, crustacés et mollusques
Boucherie sur éventaires et marchés
Boucherie charcuterie sur éventaires et marchés
Boucherie chevaline sur éventaires et marchés
Préparation de poissons, crustacés, mollusques sur éventaires, marchés
Aménagement de chaussées
Construction d'installations sportives ou récréatives de plain air
Travaux de démolition
Travaux de terrassement courants et travaux préparatoires
Travaux d'installation électrique sur la voie publique
Travaux d'installation d'eau et de gaz en tous locaux
Entretien de chaudières domestiques
Travaux d'isolation
Métallerie, serrurerie
Travaux de peinture extérieure
Travaux de peinture intérieure et peinture plâtrerie
Travaux de couverture par éléments
Construction de cheminées et de fours industriels
Construction d'installations de réseaux pour fluides
Forage des puits d'eau
Forages et sondages
Installation d'antennes
Installation et entretien de climatisation et chaufferie
Installation de chauffage individuel
Montage de clôtures et de grilles
Installation de stores et bannes
Autres travaux d'installation divers
Travaux de plâtrerie d'extérieur
Agencement de lieux de vente
Travaux de miroiterie de bâtiment, vitrerie
Travaux de peinture en lettres sur bâtiments
Travaux de charpente
Travaux d'étanchéification
Construction de maisons individuelles
Construction de bâtiments
Réhabilitation de bâtiments
Pose de signalisation routière verticale
Construction de voies ferrées de surface et souterraines
Construction d'ouvrages d'art
Construction et entretien de tunnels
Construction de centrales électriques
Construction de lignes électriques et de télécommunication
Construction d'ouvrages maritimes et fluviaux
Terrassements
Artificiers
Installation électrique
Installation d'ascenseurs
Travaux de plâtrerie d'intérieur
Menuiserie bois
Menuiserie PVC
Installation de serres et de vérandas
Travaux de revêtement des sols et des murs
Autres travaux de finition
Travaux de montage de structures métalliques
Travaux de maçonnerie générale et gros œuvre de bâtiment
Installation de piscines de résidence et construction de piscines non couvertes
Autres travaux spéciaux de construction
Location avec opérateur de matériel de construction

























































































































































































































































































































































































































































































































